fault_id,xmv_channel,gru_mode,seeds,n_seeds,mean_delta_auroc,min_delta_auroc,mean_delta_auprc,positive_auroc_seeds,raw_direction_vs_locked_cell,material_delta_auroc_ge_0_02,imputer_method,imputer_quality_gate_pass,run_level_ci_available,consensus_included,comparison_status,source_commit
4,10,conditional,"42,43,44,45,46",5,0.4191014617940200,0.2950582433554817,0.3268603240498934,5,SAME_POSITIVE_DIRECTION,true,legacy_mean,false,false,false,RAW_DIRECTION_ONLY_CONDITION_DIFFERENT,bc6166f
19,7,conditional,"42,43,44,45,46",5,0.0143263953488372,0.0122512043189370,0.0083662094150684,5,SAME_POSITIVE_DIRECTION,false,legacy_mean,true,false,false,RAW_DIRECTION_ONLY_CONDITION_DIFFERENT,bc6166f
19,8,conditional,"42,43,44,45,46",5,0.0289462790697674,0.0252001038205980,0.0176361866229684,5,SAME_POSITIVE_DIRECTION,true,legacy_mean,false,false,false,RAW_DIRECTION_ONLY_CONDITION_DIFFERENT,bc6166f
25,2,conditional,"42,43,44,45,46",5,0.0217104609634551,0.0149924418604651,0.0141659453547352,5,SAME_POSITIVE_DIRECTION,true,legacy_mean,true,false,false,RAW_DIRECTION_ONLY_CONDITION_DIFFERENT,bc6166f
4,10,zero,"42,43,44,45,46",5,0.4198081519933556,0.2954968023255814,0.3272876557593429,5,SAME_POSITIVE_DIRECTION,true,none,not_applicable,false,false,SENSITIVITY_ONLY_ZERO_MASKING,bc6166f
19,7,zero,"42,43,44,45,46",5,0.0762712043189369,0.0623227990033223,0.0451573173678394,5,SAME_POSITIVE_DIRECTION,true,none,not_applicable,false,false,SENSITIVITY_ONLY_ZERO_MASKING,bc6166f
19,8,zero,"42,43,44,45,46",5,0.0711046843853821,0.0658747508305648,0.0427446316143118,5,SAME_POSITIVE_DIRECTION,true,none,not_applicable,false,false,SENSITIVITY_ONLY_ZERO_MASKING,bc6166f
25,2,zero,"42,43,44,45,46",5,0.2282318230897010,0.2123350083056479,0.1751285274177316,5,SAME_POSITIVE_DIRECTION,true,none,not_applicable,false,false,SENSITIVITY_ONLY_ZERO_MASKING,bc6166f
