variant,seed,split_seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0,43,42,1,0.9988819452919763,0.9996156402624289,1.0,7.35,0.0
F0,43,42,2,0.9974669647513065,0.9991172314445992,1.0,16.6,0.0
F0,43,42,3,0.5190087021483545,0.7193531050106331,0.0,,0.0
F0,43,42,4,0.5022663339410907,0.7123975800855021,1.0,4.0,0.0
F0,43,42,5,0.49523385405687276,0.705541687439283,0.0,,0.0
F0,43,42,6,0.9995641220988216,0.9998572287208283,1.0,3.0,0.0
F0,43,42,7,0.5120585407166606,0.7271576982039242,1.0,4.0,0.0
F0,43,42,8,0.9928017151578135,0.9975721680235718,1.0,26.3,0.0
F0,43,42,9,0.5323686787996238,0.7318227417373938,0.0,,0.0
F0,43,42,10,0.9667046730746235,0.9879834684818672,1.0,44.0,0.0
F0,43,42,11,0.9596253847794384,0.9849234427789352,1.0,12.0,0.0
F0,43,42,12,0.7887180233955761,0.910684132043041,1.0,27.25,0.0
F0,43,42,13,0.9886602926111253,0.9962448219932388,1.0,36.75,0.0
F0,43,42,14,0.9964366958464161,0.9986406262138992,1.0,6.25,0.0
F0,43,42,15,0.5164588056396924,0.7193514191247283,0.0,,0.0
F0,43,42,16,0.510688334510632,0.716394804224535,0.0,,0.0
F0,43,42,17,0.9893092769906519,0.9964496538327318,1.0,33.65,0.0
F0,43,42,18,0.9578274246497999,0.9845626941804608,1.0,63.0,0.0
F0,43,42,19,0.7559470782650931,0.8922902326641629,1.0,123.8,0.0
F0,43,42,20,0.984585800421362,0.9947178420784575,1.0,42.95,0.0
F0,43,42,21,0.5013906425092366,0.7078015586020159,0.0,,0.0
F0,43,42,22,0.5470132516990701,0.7429996548008443,0.0,,0.0
F0,43,42,23,0.523028530077825,0.7250299733211976,0.0,,0.0
F0,43,42,24,0.9015576617491331,0.9619598083117102,1.0,26.7,0.0
F0,43,42,25,0.6760334926076735,0.8404669012677337,1.0,299.1,0.0
F0,43,42,26,0.5392538330011009,0.7401643241684243,0.15,1042.6666666666667,0.0
F0,43,42,27,0.7765151248984503,0.9009032133464733,1.0,30.15,0.0
F0,43,42,28,0.5605533827922073,0.7609088994789991,0.0,,0.0
F1,43,42,1,0.9989437041639392,0.9996379326881407,1.0,6.45,0.0
F1,43,42,2,0.9978365009449209,0.9992502746047779,1.0,13.25,0.0
F1,43,42,3,0.5403183606824141,0.7329361708074592,0.0,,0.0
F1,43,42,4,0.9709036291619976,0.9869940529719186,1.0,4.0,0.0
F1,43,42,5,0.4965451984087359,0.706332157559766,0.1,4.0,0.0
F1,43,42,6,0.9995781942086766,0.99986172016968,1.0,3.0,0.0
F1,43,42,7,0.9992905080136444,0.9997618636082207,1.0,4.0,0.0
F1,43,42,8,0.9933533196742026,0.9977720874066015,1.0,25.1,0.0
F1,43,42,9,0.5430723336033108,0.7386080344045691,0.0,,0.0
F1,43,42,10,0.9635323831114957,0.9867154889973803,1.0,43.95,0.0
F1,43,42,11,0.9842787781734981,0.9942223866625738,1.0,10.7,0.0
F1,43,42,12,0.8089174430057977,0.920042340992323,1.0,27.65,0.0
F1,43,42,13,0.9888740709510478,0.996320354194195,1.0,35.95,0.0
F1,43,42,14,0.9989831405891918,0.9996525873427546,1.0,5.8,0.0
F1,43,42,15,0.5165329384759714,0.7194294529695281,0.0,,0.0
F1,43,42,16,0.5127948640189157,0.7179948891399758,0.0,,0.0
F1,43,42,17,0.9893337352175045,0.9964483171893553,1.0,32.85,0.0
F1,43,42,18,0.9473246472110348,0.9803666141050433,1.0,63.95,0.0
F1,43,42,19,0.9854450959652555,0.994703430562227,1.0,30.2,0.0
F1,43,42,20,0.986421434110104,0.9954493102122182,1.0,43.05,0.0
F1,43,42,21,0.5007099111293561,0.707363995572729,0.0,,0.0
F1,43,42,22,0.564116085968695,0.7544507557932651,0.0,,0.0
F1,43,42,23,0.539489517726667,0.7363556506554501,0.0,,0.0
F1,43,42,24,0.9846479476169872,0.9944398494403974,1.0,16.8,0.0
F1,43,42,25,0.908911072648577,0.9636458083552663,1.0,36.65,0.0
F1,43,42,26,0.956933894984954,0.984201182106421,1.0,30.05,0.0
F1,43,42,27,0.8250764103853774,0.9243334261759633,1.0,24.45,0.0
F1,43,42,28,0.565886965145794,0.764003668179232,0.05,1338.0,0.0
