variant,seed,split_seed,epochs,input_dim,parameters,mae_z,rmse_z,auroc,auprc,detected_run_ratio,detection_delay,prefault_sample_fpr,prefault_run_alarm_rate,threshold,elapsed_seconds
F0,44,42,30,41,23209,0.5078712105751038,0.7398555278778076,0.7533358823874363,0.9008681887269259,0.6553571428571429,53.96457765667575,0.009958672588206267,0.0,0.8282229900360107,822.1611445999988
F1,44,42,30,52,25321,0.49459725618362427,0.7334680557250977,0.8150174676343801,0.9290274406611707,0.6785714285714286,24.08684210526316,0.010020355292376017,0.0,0.8198217749595642,890.5096420000009
