fault_id,rank,feature,mean_abs_shift_120,share
4,1,XMV_10,30.676959991455078,0.8202592730522156
4,2,XMV_06,1.0138723850250244,0.02710953913629055
4,3,XMV_03,0.8924193382263184,0.023862052708864212
4,4,XMV_08,0.8417408466339111,0.02250698022544384
4,5,XMV_07,0.832854151725769,0.022269362583756447
4,6,XMV_04,0.8262993097305298,0.02209409512579441
4,7,XMV_11,0.7931704521179199,0.021208275109529495
4,8,XMV_02,0.7625681161880493,0.020390011370182037
4,9,XMV_01,0.7592170238494873,0.020300408825278282
4,10,XMV_05,0.0,0.0
4,11,XMV_09,0.0,0.0
7,1,XMV_04,155.5391387939453,0.9360160231590271
7,2,XMV_06,2.857511281967163,0.017196163535118103
7,3,XMV_07,2.020228624343872,0.012157495133578777
7,4,XMV_03,1.2462600469589233,0.007499844767153263
7,5,XMV_08,1.216063380241394,0.007318124640733004
7,6,XMV_10,1.0282145738601685,0.0061876727268099785
7,7,XMV_11,0.8030491471290588,0.004832654260098934
7,8,XMV_02,0.7513876557350159,0.004521761555224657
7,9,XMV_01,0.7095799446105957,0.004270167555660009
7,10,XMV_05,0.0,0.0
7,11,XMV_09,0.0,0.0
19,1,XMV_08,33.06070327758789,0.543119490146637
19,2,XMV_07,21.40867042541504,0.3517005145549774
19,3,XMV_06,1.0212923288345337,0.01677773706614971
19,4,XMV_04,1.0172909498214722,0.016712002456188202
19,5,XMV_02,0.9174247980117798,0.015071406960487366
19,6,XMV_10,0.9108878374099731,0.014964018017053604
19,7,XMV_01,0.8928667306900024,0.014667968265712261
19,8,XMV_03,0.8493872880935669,0.01395369041711092
19,9,XMV_11,0.7933473587036133,0.013033068738877773
19,10,XMV_05,0.0,0.0
19,11,XMV_09,0.0,0.0
24,1,XMV_01,10.556146621704102,0.44507163763046265
24,2,XMV_06,3.9358818531036377,0.16594591736793518
24,3,XMV_07,2.356234312057495,0.09934430569410324
24,4,XMV_10,2.1059300899505615,0.0887909010052681
24,5,XMV_08,1.2849267721176147,0.054175496101379395
24,6,XMV_03,0.9405224323272705,0.03965460881590843
24,7,XMV_04,0.8720462918281555,0.03676749765872955
24,8,XMV_02,0.8418981432914734,0.03549638018012047
24,9,XMV_11,0.8242740035057068,0.03475330397486687
24,10,XMV_05,0.0,0.0
24,11,XMV_09,0.0,0.0
25,1,XMV_02,9.1215181350708,0.5423053503036499
25,2,XMV_07,1.3750121593475342,0.08174916356801987
25,3,XMV_06,1.3385499715805054,0.0795813575387001
25,4,XMV_08,0.9423746466636658,0.05602738633751869
25,5,XMV_10,0.8431610465049744,0.05012879893183708
25,6,XMV_03,0.8333873748779297,0.049547720700502396
25,7,XMV_04,0.8075358867645264,0.04801076278090477
25,8,XMV_11,0.7902114987373352,0.04698076844215393
25,9,XMV_01,0.7681428790092468,0.04566871374845505
25,10,XMV_05,0.0,0.0
25,11,XMV_09,0.0,0.0
26,1,XMV_04,10.907817840576172,0.6051493883132935
26,2,XMV_06,1.4111334085464478,0.07828757166862488
26,3,XMV_07,0.9039990305900574,0.05015251412987709
26,4,XMV_08,0.8663927316665649,0.04806617274880409
26,5,XMV_11,0.8131800293922424,0.04511401057243347
26,6,XMV_10,0.808879554271698,0.04487542808055878
26,7,XMV_03,0.7901425957679749,0.04383592680096626
26,8,XMV_02,0.7684823870658875,0.042634252458810806
26,9,XMV_01,0.7549694180488586,0.04188457503914833
26,10,XMV_05,0.0,0.0
26,11,XMV_09,0.0,0.0
