variant,seed,epochs,input_dim,parameters,mae_z,rmse_z,auroc,auprc,detected_run_ratio,detection_delay,prefault_sample_fpr,prefault_run_alarm_rate,threshold,elapsed_seconds
F0,42,30,41,23209,0.4974801540374756,0.7360701560974121,0.7507700231597578,0.8995018392998504,0.6482142857142857,51.86501377410468,0.010125215889464594,0.0,0.8215972185134888,2313.3553360000005
F1,42,30,52,25321,0.4968405067920685,0.7337865829467773,0.8196484210043816,0.9312336313675672,0.6803571428571429,24.58267716535433,0.010051196644460893,0.0,0.8196078538894653,1935.5122506000007
