variant,seed,fault_id,auroc,auprc,detected_run_ratio,detection_delay,prefault_run_alarm_rate
F0,42,1,0.9988888210863447,0.999617172611576,1.0,7.25,0.0
F0,42,2,0.9974149910192448,0.9991027200657466,1.0,16.9,0.0
F0,42,3,0.5208200255430676,0.7204414383778579,0.0,,0.0
F0,42,4,0.5019090730899098,0.7114189467025385,1.0,4.0,0.0
F0,42,5,0.49475634231162297,0.7051412130428774,0.0,,0.0
F0,42,6,0.9995567593589084,0.9998556834605147,1.0,3.0,0.0
F0,42,7,0.5139461080723243,0.7258002631151903,1.0,4.0,0.0
F0,42,8,0.9925705362195028,0.9974855433042458,1.0,26.2,0.0
F0,42,9,0.5304868900698859,0.7304007473018015,0.0,,0.0
F0,42,10,0.9469373529147082,0.9801840689923365,1.0,45.1,0.0
F0,42,11,0.9329767381798592,0.9745141742792173,1.0,11.8,0.0
F0,42,12,0.7842124303020664,0.9082317642658783,1.0,27.75,0.0
F0,42,13,0.9885945364709885,0.9962233841678992,1.0,37.4,0.0
F0,42,14,0.9960949895152611,0.9984677761757593,1.0,6.05,0.0
F0,42,15,0.5166121041101902,0.7192056008118272,0.0,,0.0
F0,42,16,0.5102151374727403,0.7157313705948676,0.0,,0.0
F0,42,17,0.9849838568306132,0.9947678291991527,1.0,33.5,0.0
F0,42,18,0.9457127372626757,0.9798869179703441,1.0,60.0,0.0
F0,42,19,0.7497340999951921,0.8889966844391723,1.0,128.55,0.0
F0,42,20,0.9832632778955076,0.9941921003022821,1.0,42.95,0.0
F0,42,21,0.5010440728865022,0.7073810113205008,0.0,,0.0
F0,42,22,0.5454743959101506,0.7414828057266789,0.0,,0.0
F0,42,23,0.5185628757647819,0.7217137734768552,0.0,,0.0
F0,42,24,0.8802954495863429,0.9519887614493283,1.0,33.6,0.0
F0,42,25,0.6632287201715035,0.8304331631440823,0.95,428.5263157894737,0.0
F0,42,26,0.5394927383475164,0.738276809177743,0.1,1032.0,0.0
F0,42,27,0.7587252073833273,0.891558003419094,1.0,32.65,0.0
F0,42,28,0.560099188958294,0.7598411580467429,0.0,,0.0
F1,42,1,0.9989239335584378,0.9996294004416975,1.0,6.7,0.0
F1,42,2,0.9977105823745437,0.9992036995154893,1.0,14.6,0.0
F1,42,3,0.5374961105995101,0.7321205883113466,0.0,,0.0
F1,42,4,0.6448179624965636,0.8097759954027238,1.0,4.0,0.0
F1,42,5,0.4946287564150453,0.7051503570398456,0.0,,0.0
F1,42,6,0.9995660575532651,0.9998581053926077,1.0,3.0,0.0
F1,42,7,0.9992926684492572,0.9997627648482266,1.0,4.0,0.0
F1,42,8,0.992481650165993,0.9974537141143851,1.0,26.55,0.0
F1,42,9,0.539728752840002,0.7362448926598162,0.0,,0.0
F1,42,10,0.9407849623819157,0.9777682931624829,1.0,45.5,0.0
F1,42,11,0.9415546044707764,0.9776795299529926,1.0,12.55,0.0
F1,42,12,0.7807438863678671,0.9063195386857925,1.0,27.8,0.0
F1,42,13,0.9887737879062451,0.996285005840432,1.0,36.2,0.0
F1,42,14,0.996259681895118,0.998532433109542,1.0,6.15,0.0
F1,42,15,0.5166424149293806,0.7190509063278848,0.0,,0.0
F1,42,16,0.5109590731515485,0.7160045828391152,0.0,,0.0
F1,42,17,0.984802654531244,0.9946852712886959,1.0,33.5,0.0
F1,42,18,0.9292382908088104,0.9734653697246071,1.0,60.7,0.0
F1,42,19,0.940131164021751,0.9755048996092408,1.0,40.05,0.0
F1,42,20,0.984346509833218,0.9946260232296167,1.0,43.45,0.0
F1,42,21,0.5007086413726194,0.707212159233963,0.0,,0.0
F1,42,22,0.5567553154112718,0.7495470141676467,0.0,,0.0
F1,42,23,0.5417387993278918,0.7376241834781466,0.0,,0.0
F1,42,24,0.9741150535208628,0.9904437136809949,1.0,16.9,0.0
F1,42,25,0.911245239953204,0.9648420655128874,1.0,28.3,0.0
F1,42,26,0.9345690223736068,0.9754623745946938,1.0,32.05,0.0
F1,42,27,0.7652096793679324,0.8945123901389819,1.0,33.15,0.0
F1,42,28,0.558782312535211,0.7588127459063905,0.0,,0.0
